date,product_id,category,quantity,is_holiday,is_promo
2022-01-01,P001,Electronics,147.8,1,0
2022-01-02,P001,Electronics,75.8,0,0
2022-01-03,P001,Electronics,73.7,0,0
2022-01-04,P001,Electronics,74.5,0,0
2022-01-05,P001,Electronics,77.7,0,0
2022-01-06,P001,Electronics,80.5,0,0
2022-01-07,P001,Electronics,80.8,0,0
2022-01-08,P001,Electronics,84.4,0,0
2022-01-09,P001,Electronics,80.2,0,0
2022-01-10,P001,Electronics,69.6,0,0
2022-01-11,P001,Electronics,69.4,0,0
2022-01-12,P001,Electronics,73.3,0,0
2022-01-13,P001,Electronics,76.5,0,0
2022-01-14,P001,Electronics,85.4,0,0
2022-01-15,P001,Electronics,85.0,0,0
2022-01-16,P001,Electronics,81.5,0,0
2022-01-17,P001,Electronics,146.6,1,0
2022-01-18,P001,Electronics,76.3,0,0
2022-01-19,P001,Electronics,84.0,0,0
2022-01-20,P001,Electronics,79.1,0,0
2022-01-21,P001,Electronics,85.4,0,0
2022-01-22,P001,Electronics,87.2,0,0
2022-01-23,P001,Electronics,84.0,0,0
2022-01-24,P001,Electronics,84.5,0,0
2022-01-25,P001,Electronics,73.0,0,0
2022-01-26,P001,Electronics,85.0,0,0
2022-01-27,P001,Electronics,86.0,0,0
2022-01-28,P001,Electronics,85.9,0,0
2022-01-29,P001,Electronics,87.3,0,0
2022-01-30,P001,Electronics,87.7,0,0
2022-01-31,P001,Electronics,81.0,0,0
2022-02-01,P001,Electronics,82.8,0,0
2022-02-02,P001,Electronics,85.2,0,0
2022-02-03,P001,Electronics,93.3,0,0
2022-02-04,P001,Electronics,89.2,0,0
2022-02-05,P001,Electronics,90.8,0,0
2022-02-06,P001,Electronics,89.8,0,0
2022-02-07,P001,Electronics,85.7,0,0
2022-02-08,P001,Electronics,89.0,0,0
2022-02-09,P001,Electronics,90.1,0,0
2022-02-10,P001,Electronics,89.9,0,0
2022-02-11,P001,Electronics,97.5,0,0
2022-02-12,P001,Electronics,91.6,0,0
2022-02-13,P001,Electronics,88.0,0,0
2022-02-14,P001,Electronics,82.5,0,0
2022-02-15,P001,Electronics,83.3,0,0
2022-02-16,P001,Electronics,118.6,0,1
2022-02-17,P001,Electronics,92.3,0,0
2022-02-18,P001,Electronics,92.0,0,0
2022-02-19,P001,Electronics,91.6,0,0
2022-02-20,P001,Electronics,87.6,0,0
2022-02-21,P001,Electronics,151.0,1,0
2022-02-22,P001,Electronics,89.2,0,0
2022-02-23,P001,Electronics,97.0,0,0
2022-02-24,P001,Electronics,102.3,0,0
2022-02-25,P001,Electronics,95.4,0,0
2022-02-26,P001,Electronics,94.3,0,0
2022-02-27,P001,Electronics,83.9,0,0
2022-02-28,P001,Electronics,89.0,0,0
2022-03-01,P001,Electronics,83.3,0,0
2022-03-02,P001,Electronics,87.9,0,0
2022-03-03,P001,Electronics,88.7,0,0
2022-03-04,P001,Electronics,93.6,0,0
2022-03-05,P001,Electronics,103.0,0,0
2022-03-06,P001,Electronics,93.4,0,0
2022-03-07,P001,Electronics,87.7,0,0
2022-03-08,P001,Electronics,118.7,0,1
2022-03-09,P001,Electronics,83.1,0,0
2022-03-10,P001,Electronics,89.4,0,0
2022-03-11,P001,Electronics,94.1,0,0
2022-03-12,P001,Electronics,105.9,0,0
2022-03-13,P001,Electronics,129.3,0,1
2022-03-14,P001,Electronics,92.2,0,0
2022-03-15,P001,Electronics,84.7,0,0
2022-03-16,P001,Electronics,85.0,0,0
2022-03-17,P001,Electronics,87.3,0,0
2022-03-18,P001,Electronics,91.2,0,0
2022-03-19,P001,Electronics,107.0,0,0
2022-03-20,P001,Electronics,89.2,0,0
2022-03-21,P001,Electronics,91.2,0,0
2022-03-22,P001,Electronics,82.7,0,0
2022-03-23,P001,Electronics,92.9,0,0
2022-03-24,P001,Electronics,128.1,0,1
2022-03-25,P001,Electronics,92.9,0,0
2022-03-26,P001,Electronics,97.7,0,0
2022-03-27,P001,Electronics,89.1,0,0
2022-03-28,P001,Electronics,88.9,0,0
2022-03-29,P001,Electronics,119.7,0,1
2022-03-30,P001,Electronics,83.5,0,0
2022-03-31,P001,Electronics,84.6,0,0
2022-04-01,P001,Electronics,129.3,0,1
2022-04-02,P001,Electronics,103.2,0,0
2022-04-03,P001,Electronics,91.4,0,0
2022-04-04,P001,Electronics,85.6,0,0
2022-04-05,P001,Electronics,85.5,0,0
2022-04-06,P001,Electronics,128.4,0,1
2022-04-07,P001,Electronics,125.4,0,1
2022-04-08,P001,Electronics,89.7,0,0
2022-04-09,P001,Electronics,100.0,0,0
2022-04-10,P001,Electronics,91.1,0,0
2022-04-11,P001,Electronics,90.8,0,0
2022-04-12,P001,Electronics,83.7,0,0
2022-04-13,P001,Electronics,80.8,0,0
2022-04-14,P001,Electronics,81.5,0,0
2022-04-15,P001,Electronics,96.3,0,0
2022-04-16,P001,Electronics,100.9,0,0
